keyword;minimal_abbreviation;keyword_type
MESSAGE-AREA;;Attribute
MESSAGE-AREA-FONT;;Attribute
MIN-BUTTON;;Attribute
MIN-COLUMN-WIDTH-CHARS;;Attribute
MIN-COLUMN-WIDTH-PIXELS;;Attribute
MIN-HEIGHT-CHARS;;Attribute
MIN-HEIGHT-PIXELS;;Attribute
MIN-SCHEMA-MARSHAL;;Attribute
MIN-VALUE;;Attribute
MIN-WIDTH-CHARS;;Attribute
MIN-WIDTH-PIXELS;;Attribute
MODIFIED;;Attribute
MODULO;MOD;Operator
MOUSE-POINTER;;Attribute
MOVABLE;;Attribute
MOVE-AFTER-TAB-ITEM;;Method
MOVE-BEFORE-TAB-ITEM;;Method
MOVE-COLUMN;;Method
MOVE-TO-BOTTOM;;Method
MOVE-TO-EOF;;Method
MOVE-TO-TOP;;Method
MULTI-COMPILE;;Attribute
MULTIPLE;;Attribute
MULTITASKING-INTERVAL;;Attribute
MUST-UNDERSTAND;;Attribute
NAME;;Attribute
NAMESPACE-PREFIX;;Attribute
NAMESPACE-URI;;Attribute
NE;;Operator
NEEDS-APPSERVER-PROMPT;;Attribute
NEEDS-PROMPT;;Attribute
NESTED;;Attribute
NEW;;Attribute
NEW-ROW;;Attribute
NEXT-COLUMN;;Attribute
NEXT-ROWID;;Attribute
NEXT-SIBLING;;Attribute
NEXT-TAB-ITEM;;Attribute
NO-CURRENT-VALUE;;Attribute
NODE-VALUE;;Attribute
NODE-VALUE-TO-LONGCHAR;;Method
NODE-VALUE-TO-MEMPTR;;Method
NO-EMPTY-SPACE;;Attribute
NO-FOCUS;;Attribute
NONAMESPACE-SCHEMA-LOCATION;;Attribute
NORMALIZE;;Method
NO-SCHEMA-MARSHAL;;Attribute
NOT;;Operator
NO-VALIDATE;;Attribute
NUM-BUFFERS;;Attribute
NUM-BUTTONS;;Attribute
NUM-CHILD-RELATIONS;;Attribute
NUM-CHILDREN;;Attribute
NUM-COLUMNS;;Attribute
NUM-DROPPED-FILES;;Attribute
NUM-ENTRIES;;Attribute
NUMERIC-DECIMAL-POINT;;Attribute
NUMERIC-FORMAT;;Attribute
NUMERIC-SEPARATOR;;Attribute
NUM-FIELDS;;Attribute
NUM-FORMATS;;Attribute
NUM-HEADER-ENTRIES;;Attribute
NUM-ITEMS;;Attribute
NUM-ITERATIONS;;Attribute
NUM-LINES;;Attribute
NUM-LOCKED-COLUMNS;;Attribute
NUM-LOG-FILES;;Attribute
NUM-MESSAGES;;Attribute
NUM-PARAMETERS;;Attribute
NUM-REFERENCES;;Attribute
NUM-RELATIONS;;Attribute
NUM-REPLACED;;Attribute
NUM-RESULTS;;Attribute
NUM-SELECTED-ROWS;;Attribute
NUM-SELECTED-WIDGETS;;Attribute
NUM-SOURCE-BUFFERS;;Attribute
NUM-TABS;;Attribute
NUM-TOP-BUFFERS;;Attribute
NUM-TO-RETAIN;;Attribute
NUM-VISIBLE-COLUMNS;;Attribute
ON-FRAME-BORDER;;Attribute
